team,division,W,L,RS,RA,run_diff,wc_gb,streak,G,pct,pythag,talent,remaining,playoff_odds
Rays,201,56,42,435,421,14,-,L5,98,0.5714285714285714,0.5149618196875081,0.5110244987171112,64,0.9543
Yankees,201,55,44,467,382,85,+4.5,W1,99,0.5555555555555556,0.590894114742253,0.5671531146230078,63,0.9848
Red Sox,201,50,48,413,368,45,-,W13,98,0.5102040816326531,0.5525841658533258,0.5387462274708716,64,0.7522
Orioles,201,49,51,459,472,-13,2.0,W7,100,0.49,0.4872253658982692,0.49053730807279194,62,0.2435
Blue Jays,201,46,53,397,442,-45,4.5,L1,99,0.46464646464646464,0.451034023169665,0.46382364398355846,63,0.0469
White Sox,202,52,46,469,424,45,-,W1,98,0.5306122448979592,0.5460171201727122,0.533907351706209,64,0.8609
Guardians,202,52,48,392,404,-12,+1.0,L1,100,0.52,0.48620848427142366,0.48978406242327677,62,0.5515
Twins,202,49,51,479,503,-24,2.0,L2,100,0.49,0.47764792828488406,0.4834429098406548,62,0.2113
Tigers,202,46,53,418,387,31,4.5,L1,99,0.46464646464646464,0.5351951566206617,0.526002391831683,63,0.2277
Royals,202,40,60,426,525,-99,11.0,L1,100,0.4,0.4055494264530644,0.4300366121874551,62,0.0001
Rangers,200,50,49,412,443,-31,-,L1,99,0.5050505050505051,0.46685867512387186,0.47551499132286057,63,0.4298
Mariners,200,50,50,402,389,13,1.0,W2,100,0.5,0.5150347470330713,0.5111368496541269,62,0.6522
Astros,200,47,54,455,508,-53,4.5,L4,101,0.46534653465346537,0.4497609075284392,0.46269008573803205,61,0.0823
Athletics,200,42,57,443,557,-114,8.5,L1,99,0.42424242424242425,0.39674129650532325,0.42371185338826123,63,0.0018
Angels,200,39,61,434,496,-62,12.0,W1,100,0.39,0.43921157555754775,0.4549715374500354,62,0.0007
