Name,Team,Season,Age,G,PA,AB,HR,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,xwOBA,wRC+,WAR,K%,BB%,Barrel%,HardHit%,EV,O-Swing%,Z-Contact%,Contact%,SwStr%,Spd
Pete Crow-Armstrong,CHC,2026,24.0,87.0,378.0,328.0,19.0,0.286585365,0.374005305,0.524390243,0.898395548,0.237804878,0.352112676,0.38693508418401085,0.36167142740885416,148.27823895366657,5.2745901114432865,0.259259259,0.103174603,0.10729614,0.50643777,90.78097345132744,0.38052095,0.86600496,0.73883627,0.13237311,7.266098352785454
Corbin Carroll,ARI,2026,25.0,83.0,354.0,309.0,13.0,0.268608414,0.355932203,0.514563106,0.870495309,0.245954692,0.318181818,0.37350715000298473,0.35633347300881985,136.4689972139061,3.4655164741262867,0.220338983,0.110169491,0.12017167,0.472103,91.56288380185589,0.32086852,0.80381471,0.73459716,0.12316716,6.7491059312994945
James Wood,WSN,2026,23.0,88.0,411.0,339.0,22.0,0.265486725,0.389294403,0.522123893,0.911418296,0.256637168,0.350515463,0.38938475793999416,0.418057569816931,148.16785979346724,3.228631588156402,0.304136253,0.160583941,0.23148148,0.59722222,95.12325581395349,0.25239923,0.83790524,0.7003012,0.11496245,4.950955831343422
Byron Buxton,MIN,2026,32.0,73.0,329.0,302.0,25.0,0.26821192,0.325227963,0.572847682,0.898075645,0.304635762,0.284263959,0.3810082686746993,0.3505738886391244,144.0481266978525,2.877049681848926,0.246200607,0.0668693,0.18468468,0.47297297,90.61847198761261,0.37587658,0.85365854,0.70486656,0.15575808,5.797172065291903
Andy Pages,LAD,2026,25.0,86.0,372.0,336.0,16.0,0.270833333,0.327956989,0.479166666,0.807123655,0.208333333,0.29880478,0.3482640244627512,0.3421838821903352,120.94070002349287,2.780107046274184,0.198924731,0.069892473,0.08988764,0.4494382,89.18202100889513,0.3543578,0.89731051,0.79247911,0.10177596,4.534871943722245
Ceddanne Rafaela,BOS,2026,25.0,81.0,324.0,301.0,7.0,0.282392026,0.331269349,0.435215946,0.766485295,0.15282392,0.339130434,0.33613698253690644,0.28559222221374514,109.76856929244522,2.6789101166046345,0.197530864,0.049382716,0.05042017,0.34033613,86.18077256944444,0.4325452,0.85196375,0.7694704,0.12251656,5.6740894754720514
Juan Soto,NYM,2026,27.0,68.0,289.0,242.0,17.0,0.293388429,0.402777777,0.553719008,0.956496785,0.260330579,0.284210526,0.4052864499787843,0.4243205901115171,162.1456693138398,2.5742504714233614,0.124567474,0.155709342,0.14423077,0.5,93.01724137931035,0.22205207,0.91638796,0.82207207,0.06997343,4.345360870627423
Cody Bellinger,NYY,2026,30.0,84.0,361.0,307.0,11.0,0.254071661,0.351800554,0.433224755,0.785025309,0.179153094,0.268,0.3450115359390872,0.3609255998494239,121.22597503596096,2.530577900843033,0.141274238,0.135734072,0.07279693,0.36781609,89.04186349321705,0.31823899,0.88826816,0.82487725,0.07867647,5.3586435068316085
Mike Trout,LAA,2026,34.0,74.0,335.0,265.0,17.0,0.233962264,0.39402985,0.471698113,0.865727963,0.237735849,0.272727272,0.37569152962541724,0.41270503117487983,139.97347398543133,2.4548578805953922,0.247761194,0.197014925,0.20879121,0.51098901,91.2325945269337,0.23337223,0.91014493,0.79633028,0.07883523,4.384322597238022
Bryan Reynolds,PIT,2026,31.0,87.0,377.0,314.0,11.0,0.280254777,0.395225464,0.461783439,0.857008903,0.181528662,0.348416289,0.3770350438753764,0.36777457682291664,137.95282981866978,2.362057108753784,0.222811671,0.148541114,0.09913793,0.47844828,91.4469793911638,0.26111745,0.88382688,0.73502994,0.11768617,5.254523602439605
Randy Arozarena,SEA,2026,31.0,79.0,335.0,290.0,8.0,0.28275862,0.370149253,0.44137931,0.811528563,0.15862069,0.352380952,0.35878309829911187,0.3434609281802606,136.12602180333897,2.327943596474736,0.223880597,0.089552238,0.07798165,0.43577982,91.50875756048387,0.33764554,0.78648649,0.7496038,0.11933535,6.43092020306317
Tristan Peters,CHW,2026,26.0,81.0,245.0,220.0,4.0,0.286363636,0.34439834,0.436363636,0.780761976,0.15,0.341040462,0.3425752194095944,0.30583864099839153,118.15738342798711,2.2259491192529017,0.179591836,0.069387755,0.0441989,0.29281768,86.7361963190184,0.35959596,0.8679868,0.8024948,0.10734463,5.50418755251978
Aaron Judge,NYY,2026,34.0,59.0,261.0,214.0,17.0,0.247663551,0.374517374,0.53271028,0.907227654,0.285046729,0.285714285,0.38558951536501485,0.4148498895600086,149.09414821242402,2.1365617184250945,0.275862068,0.16091954,0.2137931,0.56551724,94.10279856861888,0.29123328,0.83214286,0.69957983,0.12836625,3.5375559053102106
Jackson Chourio,MIL,2026,22.0,50.0,234.0,213.0,12.0,0.295774647,0.354700854,0.530516431,0.885217285,0.234741784,0.349315068,0.3799587327011665,0.34068037421156316,142.54523371877144,2.1179615735334534,0.239316239,0.081196581,0.13924051,0.46835443,92.41794996995192,0.34489403,0.9,0.79020979,0.09911894,4.3757430923295235
Michael Harris II,ATL,2026,25.0,78.0,301.0,283.0,14.0,0.293286219,0.328903654,0.487632508,0.816536162,0.194346289,0.327014218,0.3528105858156451,0.3770985158284505,123.03075527494293,2.1129062997271313,0.199335548,0.049833887,0.14222222,0.50222222,91.82882882882883,0.45757576,0.91973244,0.77204659,0.125,3.544012039090159
Riley Greene,DET,2026,25.0,86.0,362.0,312.0,11.0,0.28525641,0.375690607,0.44551282,0.821203427,0.16025641,0.376811594,0.3616939206863044,0.3607912354191915,131.2942155048221,2.1125401520894833,0.267955801,0.124309392,0.13761468,0.51376147,92.0454146358945,0.27231638,0.84353741,0.728739,0.12382865,2.289943133500617
Brandon Marsh,PHI,2026,28.0,82.0,324.0,304.0,15.0,0.319078947,0.351851851,0.529605263,0.881457114,0.210526316,0.396135265,0.3777385538576557,0.3308431731988184,138.6983107938794,1.9784762157425937,0.262345679,0.046296296,0.0990991,0.46396396,89.74545454545455,0.39215686,0.87165775,0.7681388,0.12457627,5.458873630821984
Jordan Walker,STL,2026,24.0,81.0,345.0,316.0,18.0,0.287974683,0.342028985,0.50949367,0.851522655,0.221518987,0.347619047,0.3665387133179709,0.3590490651685138,134.88569645546298,1.9712517098228308,0.260869565,0.072463768,0.13157895,0.50877193,93.67324561403508,0.38326586,0.81666667,0.71118012,0.14927769,4.096271706058307
Ezequiel Duran,TEX,2026,27.0,78.0,289.0,264.0,6.0,0.272727272,0.326388888,0.412878787,0.739267675,0.140151515,0.341968911,0.3246148137582673,0.30451322435499073,107.49706876733987,1.9658478760822358,0.23183391,0.072664359,0.055,0.375,88.79741865335052,0.37674419,0.86477987,0.76114082,0.11974978,5.354984062594202
