player_id,player_name,pa,woba,xwoba,gap,ros_pa,ros_woba,ros_xwoba,season
408234,"Cabrera, Miguel",344,0.379,0.422,-0.04299999999999998,335,0.419,0.476,2016
592885,"Yelich, Christian",306,0.377,0.404,-0.027000000000000024,353,0.36,0.365,2016
502110,"Martinez, J.D.",285,0.37,0.404,-0.03400000000000003,232,0.401,0.389,2016
434778,"Morales, Kendrys",290,0.327,0.393,-0.066,328,0.349,0.384,2016
621043,"Correa, Carlos",333,0.363,0.389,-0.026000000000000023,327,0.335,0.339,2016
592206,"Castellanos, Nick",315,0.362,0.388,-0.026000000000000023,132,0.321,0.373,2016
458015,"Votto, Joey",328,0.356,0.385,-0.029000000000000026,349,0.467,0.413,2016
457759,"Turner, Justin",303,0.33,0.379,-0.04899999999999999,319,0.374,0.329,2016
408045,"Mauer, Joe",323,0.32,0.37,-0.04999999999999999,253,0.335,0.341,2016
467793,"Santana, Carlos",334,0.341,0.368,-0.02699999999999997,354,0.397,0.402,2016
457763,"Posey, Buster",298,0.344,0.367,-0.02300000000000002,316,0.338,0.356,2016
407812,"Holliday, Matt",293,0.341,0.366,-0.024999999999999967,133,0.323,0.319,2016
501981,"Davis, Khris",285,0.336,0.365,-0.02899999999999997,325,0.361,0.372,2016
474892,"Carter, Chris",311,0.338,0.359,-0.020999999999999963,333,0.354,0.377,2016
430945,"Jones, Adam",323,0.335,0.357,-0.021999999999999964,349,0.303,0.301,2016
150029,"Werth, Jayson",294,0.333,0.355,-0.021999999999999964,312,0.322,0.319,2016
608577,"Mazara, Nomar",302,0.331,0.354,-0.022999999999999965,266,0.304,0.293,2016
461314,"Kemp, Matt",329,0.308,0.342,-0.03400000000000003,343,0.358,0.351,2016
455976,"Markakis, Nick",338,0.303,0.339,-0.03600000000000003,346,0.339,0.334,2016
405395,"Pujols, Albert",330,0.317,0.339,-0.02200000000000002,320,0.345,0.395,2016
489149,"Morrison, Logan",269,0.302,0.333,-0.031000000000000028,129,0.35,0.348,2016
475582,"Zimmerman, Ryan",289,0.298,0.331,-0.03300000000000003,178,0.243,0.291,2016
457705,"McCutchen, Andrew",333,0.31,0.331,-0.02100000000000002,342,0.347,0.35,2016
475174,"Alonso, Yonder",263,0.286,0.329,-0.04300000000000004,269,0.311,0.303,2016
452655,"Span, Denard",348,0.305,0.327,-0.02200000000000002,289,0.319,0.32,2016
516770,"Castro, Starlin",306,0.298,0.318,-0.020000000000000018,304,0.328,0.298,2016
425877,"Molina, Yadier",290,0.294,0.317,-0.02300000000000002,291,0.389,0.341,2016
588751,"Hechavarría, Adeiny",280,0.265,0.305,-0.03999999999999998,267,0.247,0.28,2016
457708,"Upton, Justin",315,0.283,0.303,-0.020000000000000018,311,0.376,0.382,2016
475253,"Smoak, Justin",295,0.397,0.427,-0.02999999999999997,342,0.349,0.357,2017
408234,"Cabrera, Miguel",279,0.346,0.411,-0.065,250,0.275,0.326,2017
572761,"Carpenter, Matt",324,0.355,0.409,-0.05399999999999999,298,0.367,0.348,2017
608369,"Seager, Corey",317,0.381,0.407,-0.025999999999999968,296,0.346,0.352,2017
621043,"Correa, Carlos",331,0.386,0.406,-0.020000000000000018,150,0.41,0.375,2017
594988,"Schebler, Scott",293,0.365,0.395,-0.030000000000000027,238,0.287,0.291,2017
501981,"Davis, Khris",332,0.356,0.395,-0.039000000000000035,320,0.366,0.377,2017
474832,"Belt, Brandon",340,0.343,0.393,-0.04999999999999999,111,0.379,0.358,2017
519048,"Moreland, Mitch",303,0.344,0.389,-0.04500000000000004,273,0.305,0.35,2017
429664,"Canó, Robinson",309,0.354,0.379,-0.025000000000000022,339,0.317,0.333,2017
592206,"Castellanos, Nick",322,0.31,0.374,-0.064,343,0.37,0.373,2017
425783,"Choo, Shin-Soo",311,0.35,0.373,-0.02300000000000002,325,0.328,0.361,2017
521692,"Perez, Salvador",283,0.352,0.372,-0.020000000000000018,215,0.298,0.318,2017
408045,"Mauer, Joe",283,0.33,0.371,-0.04099999999999998,314,0.366,0.367,2017
451594,"Fowler, Dexter",277,0.344,0.37,-0.026000000000000023,214,0.376,0.342,2017
453943,"Frazier, Todd",289,0.328,0.37,-0.04199999999999998,287,0.341,0.339,2017
434778,"Morales, Kendrys",307,0.326,0.366,-0.03999999999999998,301,0.313,0.342,2017
572122,"Seager, Kyle",333,0.324,0.361,-0.03699999999999998,317,0.329,0.327,2017
434670,"Ramirez, Hanley",268,0.331,0.355,-0.023999999999999966,285,0.306,0.339,2017
592518,"Machado, Manny",325,0.301,0.354,-0.05299999999999999,365,0.351,0.366,2017
459964,"Joyce, Matt",264,0.323,0.353,-0.02999999999999997,280,0.361,0.359,2017
467793,"Santana, Carlos",346,0.309,0.352,-0.04299999999999998,321,0.395,0.366,2017
656941,"Schwarber, Kyle",261,0.294,0.338,-0.04400000000000004,225,0.377,0.353,2017
607680,"Pillar, Kevin",337,0.31,0.335,-0.025000000000000022,295,0.294,0.283,2017
400121,"Martinez, Victor",254,0.304,0.332,-0.028000000000000025,181,0.301,0.336,2017
596748,"Franco, Maikel",310,0.277,0.313,-0.035999999999999976,313,0.307,0.292,2017
435063,"Napoli, Mike",253,0.285,0.308,-0.02300000000000002,231,0.321,0.32,2017
405395,"Pujols, Albert",323,0.277,0.301,-0.023999999999999966,313,0.296,0.333,2017
543063,"Crawford, Brandon",266,0.271,0.298,-0.02699999999999997,304,0.328,0.306,2017
621020,"Swanson, Dansby",309,0.269,0.294,-0.024999999999999967,242,0.284,0.296,2017
460086,"Gordon, Alex",274,0.257,0.29,-0.032999999999999974,267,0.282,0.302,2017
606299,"Peraza, José",304,0.266,0.289,-0.022999999999999965,214,0.282,0.318,2017
621439,"Buxton, Byron",251,0.248,0.273,-0.025000000000000022,260,0.374,0.323,2017
443558,"Cruz, Nelson",292,0.39,0.415,-0.024999999999999967,299,0.333,0.377,2018
458015,"Votto, Joey",359,0.385,0.413,-0.02799999999999997,264,0.349,0.361,2018
543685,"Rendon, Anthony",264,0.372,0.399,-0.027000000000000024,333,0.392,0.373,2018
547180,"Harper, Bryce",352,0.356,0.397,-0.041000000000000036,343,0.395,0.386,2018
500874,"Martínez, José A.",315,0.372,0.396,-0.02400000000000002,275,0.337,0.357,2018
572761,"Carpenter, Matt",322,0.369,0.395,-0.026000000000000023,354,0.381,0.384,2018
592885,"Yelich, Christian",297,0.36,0.382,-0.02200000000000002,354,0.474,0.437,2018
501981,"Davis, Khris",321,0.345,0.38,-0.03500000000000003,333,0.385,0.371,2018
621566,"Olson, Matt",343,0.336,0.376,-0.03999999999999998,317,0.344,0.337,2018
467793,"Santana, Carlos",347,0.343,0.37,-0.02699999999999997,332,0.324,0.321,2018
543305,"Hicks, Aaron",262,0.341,0.37,-0.02899999999999997,319,0.375,0.373,2018
606192,"Hernández, Teoscar",282,0.347,0.368,-0.02100000000000002,241,0.306,0.312,2018
457708,"Upton, Justin",351,0.345,0.367,-0.02200000000000002,262,0.352,0.337,2018
