player_id,player_name,pa,woba,xwoba
592450,"Judge, Aaron",367,0.502,0.502
670541,"Alvarez, Yordan",282,0.405,0.443
665742,"Soto, Juan",331,0.393,0.414
592178,"Bryant, Kris",95,0.437,0.414
518692,"Freeman, Freddie",369,0.407,0.413
663886,"Stephenson, Tyler",28,0.422,0.406
405395,"Pujols, Albert",215,0.442,0.401
592663,"Realmuto, J.T.",284,0.405,0.397
663586,"Riley, Austin",368,0.395,0.395
572204,"Thompson, Trayce",214,0.391,0.387
650391,"Jiménez, Eloy",288,0.385,0.383
650559,"De La Cruz, Bryan",207,0.345,0.383
457759,"Turner, Justin",243,0.401,0.382
663457,"Nootbaar, Lars",270,0.377,0.381
686469,"Pasquantino, Vinnie",291,0.369,0.38
594807,"Duvall, Adam",30,0.413,0.38
660271,"Ohtani, Shohei",343,0.376,0.38
623993,"Santander, Anthony",352,0.341,0.38
608369,"Seager, Corey",346,0.348,0.378
656248,"Bouchard, Sean",88,0.444,0.378
545361,"Trout, Mike",212,0.399,0.373
650490,"Díaz, Yandy",289,0.39,0.371
608324,"Bregman, Alex",348,0.371,0.367
643376,"Jansen, Danny",186,0.357,0.367
663993,"Lowe, Nathaniel",367,0.395,0.366
516782,"Marte, Starling",221,0.38,0.366
521692,"Perez, Salvador",237,0.356,0.366
500871,"Escobar, Eduardo",252,0.34,0.365
606192,"Hernández, Teoscar",323,0.358,0.363
571448,"Arenado, Nolan",309,0.403,0.362
593871,"Polanco, Jorge",185,0.343,0.362
656941,"Schwarber, Kyle",341,0.345,0.362
656495,"Guthrie, Dalton",28,0.437,0.362
677594,"Rodríguez, Julio",242,0.393,0.361
682073,"Hensley, David",34,0.44,0.361
502671,"Goldschmidt, Paul",326,0.392,0.361
641933,"O'Neill, Tyler",198,0.328,0.361
572761,"Carpenter, Matt",108,0.469,0.36
680977,"Donovan, Brendan",259,0.329,0.36
543807,"Springer, George",290,0.346,0.36
467793,"Santana, Carlos",283,0.308,0.358
514888,"Altuve, Jose",342,0.414,0.358
660670,"Acuña Jr., Ronald",337,0.321,0.356
621043,"Correa, Carlos",347,0.358,0.354
669221,"Murphy, Sean",333,0.361,0.354
571970,"Muncy, Max",320,0.341,0.354
596103,"Slater, Austin",195,0.341,0.354
621493,"Ward, Taylor",336,0.331,0.353
656413,"Fairchild, Stuart",99,0.389,0.353
596129,"Vogelbach, Daniel",241,0.365,0.352
592518,"Machado, Manny",355,0.367,0.351
572233,"Walker, Christian",365,0.356,0.35
641584,"Fraley, Jake",199,0.387,0.35
608701,"Refsnyder, Rob",127,0.365,0.348
668939,"Rutschman, Adley",341,0.373,0.348
663898,"Rodgers, Brendan",301,0.318,0.348
605141,"Betts, Mookie",364,0.369,0.348
663624,"Mountcastle, Ryan",334,0.295,0.348
656305,"Chapman, Matt",340,0.346,0.348
656811,"O'Hearn, Ryan",85,0.298,0.347
592192,"Canha, Mark",296,0.355,0.346
643217,"Benintendi, Andrew",213,0.348,0.346
642086,"Smith, Dominic",39,0.26,0.345
553993,"Suárez, Eugenio",300,0.356,0.345
671739,"Harris II, Michael",323,0.365,0.345
669004,"Melendez, MJ",342,0.307,0.345
672724,"Peraza, Oswald",57,0.371,0.345
676801,"McCormick, Chas",231,0.348,0.344
547989,"Abreu, José",362,0.36,0.344
669357,"Gorman, Nolan",185,0.305,0.344
621566,"Olson, Matt",360,0.332,0.343
649966,"Urías, Luis",265,0.344,0.343
605204,"Davis, J.D.",194,0.358,0.343
669257,"Smith, Will",322,0.35,0.343
543309,"Higashioka, Kyle",123,0.338,0.342
624413,"Alonso, Pete",365,0.349,0.341
596019,"Lindor, Francisco",376,0.361,0.341
642133,"Tellez, Rowdy",316,0.311,0.341
669065,"Stowers, Kyle",90,0.322,0.341
606213,"Mercedes, Yermín",79,0.306,0.341
669304,"Miranda, Jose F",330,0.343,0.34
677551,"Franco, Wander",136,0.36,0.34
683002,"Henderson, Gunnar",132,0.343,0.339
592885,"Yelich, Christian",342,0.333,0.339
666182,"Bichette, Bo",359,0.379,0.339
647304,"Naylor, Josh",292,0.324,0.338
575929,"Contreras, Willson",197,0.295,0.338
656555,"Hoskins, Rhys",348,0.335,0.338
519203,"Rizzo, Anthony",232,0.344,0.338
641857,"McMahon, Ryan",299,0.339,0.338
621439,"Buxton, Byron",139,0.327,0.338
572041,"Pollock, AJ",306,0.31,0.338
660757,"Gonzalez, Oscar",252,0.348,0.338
673548,"Suzuki, Seiya",283,0.334,0.337
664761,"Bohm, Alec",331,0.332,0.337
608841,"Meneses, Joey",240,0.395,0.337
592626,"Pederson, Joc",216,0.351,0.337
624414,"Arroyo, Christian",193,0.347,0.337
664913,"Brown, Seth",303,0.334,0.337
543760,"Semien, Marcus",399,0.342,0.337
646240,"Devers, Rafael",286,0.324,0.336
570482,"Urshela, Gio",279,0.355,0.336
668804,"Reynolds, Bryan",306,0.352,0.335
518934,"LeMahieu, DJ",254,0.32,0.335
686681,"Massey, Michael",194,0.302,0.334
643446,"McNeil, Jeff",334,0.364,0.334
668843,"Capel, Conner",55,0.382,0.333
669374,"Hiura, Keston",147,0.341,0.332
605137,"Bell, Josh",324,0.297,0.332
607043,"Nimmo, Brandon",377,0.356,0.332
624503,"Gordon, Nick",268,0.334,0.332
641598,"Garver, Mitch",35,0.329,0.332
658668,"Olivares, Edward",119,0.308,0.332
666134,"Jones, Nolan",94,0.297,0.33
676475,"Burleson, Alec",53,0.245,0.33
661388,"Contreras, William",236,0.364,0.33
668942,"Rojas, Josh",324,0.343,0.33
687093,"Grissom, Vaughn",156,0.345,0.33
593428,"Bogaerts, Xander",321,0.35,0.33
649557,"Díaz, Aledmys",180,0.341,0.329
572228,"Voit, Luke",325,0.303,0.329
673357,"Robert Jr., Luis",141,0.318,0.329
608348,"Kelly, Carson",252,0.315,0.329
679529,"Torkelson, Spencer",160,0.288,0.328
665489,"Guerrero Jr., Vladimir",381,0.343,0.328
592669,"Renfroe, Hunter",305,0.353,0.327
650333,"Arraez, Luis",317,0.325,0.327
663728,"Raleigh, Cal",249,0.334,0.327
686823,"Brennan, Will",45,0.385,0.327
607208,"Turner, Trea",377,0.34,0.327
641512,"DeLuzio, Ben",25,0.242,0.326
663630,"McKenna, Ryan",93,0.294,0.326
679631,"Vavra, Terrin",103,0.303,0.326
602104,"Urías, Ramón",257,0.332,0.326
608385,"Winker, Jesse",227,0.305,0.325
543939,"Wong, Kolten",278,0.351,0.324
595281,"Kiermaier, Kevin",32,0.297,0.324
596847,"Choi, Ji Man",217,0.279,0.324
673490,"Kim, Ha-Seong",307,0.329,0.323
671213,"Casas, Triston",95,0.344,0.323
621020,"Swanson, Dansby",379,0.316,0.323
571745,"Haniger, Mitch",211,0.322,0.322
663656,"Tucker, Kyle",326,0.333,0.322
542364,"Ortega, Rafael",159,0.277,0.322
666624,"Morel, Christopher",240,0.294,0.321
621512,"Nido, Tomás",166,0.3,0.321
677951,"Witt Jr., Bobby",333,0.304,0.321
457705,"McCutchen, Andrew",306,0.307,0.321
663697,"India, Jonathan",326,0.329,0.321
657077,"Verdugo, Alex",349,0.33,0.321
606466,"Marte, Ketel",282,0.297,0.32
683146,"Baty, Brett",42,0.26,0.32
545350,"Marisnick, Jake",30,0.463,0.32
666971,"Gurriel Jr., Lourdes",223,0.326,0.319
502110,"Martinez, J.D.",302,0.306,0.319
663837,"Vierling, Matt",251,0.277,0.319
527038,"Flores, Wilmer",326,0.309,0.319
650402,"Torres, Gleyber",316,0.324,0.319
621438,"Taylor, Tyrone",175,0.333,0.318
641313,"Anderson, Tim",139,0.258,0.318
665926,"Giménez, Andrés",326,0.36,0.317
571976,"Myers, Wil",152,0.36,0.317
669261,"Suwinski, Jack",166,0.29,0.317
641487,"Crawford, J.P.",297,0.289,0.317
643265,"Cooper, Garrett",199,0.281,0.316
456781,"Solano, Donovan",277,0.312,0.316
656541,"Hilliard, Sam",74,0.29,0.316
458015,"Votto, Joey",139,0.275,0.316
668751,"Mitchell, Cal",144,0.306,0.315
664040,"Lowe, Brandon",133,0.304,0.315
606115,"Arcia, Orlando",124,0.313,0.315
665155,"Maton, Nick",78,0.329,0.314
680757,"Kwan, Steven",395,0.348,0.314
664238,"Moore, Dylan",127,0.374,0.313
620443,"Torrens, Luis",48,0.316,0.313
672386,"Kirk, Alejandro",295,0.303,0.313
676369,"Velázquez, Nelson",180,0.283,0.313
571875,"Lamb, Jake",105,0.302,0.313
683734,"Vaughn, Andrew",316,0.303,0.313
676391,"Clement, Ernie",62,0.196,0.313
664983,"McCarthy, Jake",268,0.349,0.312
642715,"Adames, Willy",379,0.325,0.312
446334,"Longoria, Evan",164,0.301,0.311
668227,"Arozarena, Randy",341,0.361,0.311
592273,"Drury, Brandon",297,0.331,0.311
666969,"García, Adolis",351,0.315,0.311
595777,"Profar, Jurickson",321,0.304,0.311
543333,"Hosmer, Eric",130,0.304,0.311
682985,"Greene, Riley",375,0.298,0.31
596142,"Sánchez, Gary",226,0.273,0.31
474832,"Belt, Brandon",141,0.285,0.31
660688,"Ruiz, Keibert",195,0.303,0.31
642708,"Rosario, Amed",380,0.312,0.31
608070,"Ramírez, José",375,0.323,0.31
664774,"Wade Jr., LaMonte",214,0.295,0.309
542303,"Ozuna, Marcell",198,0.295,0.309
681082,"Stott, Bryson",299,0.315,0.309
669222,"Senzel, Nick",227,0.281,0.309
663757,"Grisham, Trent",235,0.289,0.309
572816,"Dickerson, Corey",191,0.341,0.308
660636,"Castillo, Diego",80,0.324,0.308
664029,"Mathias, Mark",74,0.394,0.308
605353,"Machín, Vimael",252,0.269,0.308
672356,"Arias, Gabriel",49,0.325,0.307
660162,"Moncada, Yoán",311,0.292,0.307
665833,"Cruz, Oneil",317,0.324,0.307
670770,"Friedl, TJ",158,0.378,0.307
669242,"Edman, Tommy",298,0.306,0.307
628450,"Hernandez, Yadiel",116,0.306,0.306
644374,"Chang, Yu",131,0.299,0.306
571980,"Naquin, Tyler",184,0.279,0.306
666915,"Dalbec, Bobby",144,0.303,0.306
672284,"Kelenic, Jarred",85,0.249,0.305
669087,"Huff, Sam",57,0.293,0.305
543592,"Nola, Austin",191,0.305,0.305
543305,"Hicks, Aaron",218,0.298,0.305
543510,"McCann, James",115,0.251,0.305
681987,"Eaton, Nate",122,0.313,0.305
657557,"DeJong, Paul",151,0.267,0.304
663698,"Bart, Joey",183,0.304,0.304
666139,"Lowe, Josh",92,0.334,0.304
608577,"Mazara, Nomar",95,0.248,0.304
607054,"Peterson, Jace",125,0.277,0.304
666158,"Lux, Gavin",225,0.324,0.304
545341,"Grichuk, Randal",293,0.321,0.304
666185,"Carlson, Dylan",259,0.293,0.304
571771,"Hernández, Enrique",164,0.293,0.304
642731,"Estrada, Thairo",271,0.329,0.303
462101,"Andrus, Elvis",315,0.333,0.303
543068,"Cron, C.J.",306,0.291,0.303
678662,"Tovar, Ezequiel",35,0.261,0.302
656896,"Rivera, Emmanuel",208,0.334,0.302
670623,"Paredes, Isaac",263,0.297,0.302
669742,"Hall, Darick",133,0.335,0.302
681481,"Carpenter, Kerry",113,0.342,0.301
666135,"Kirilloff, Alex",76,0.297,0.301
444482,"Peralta, David",248,0.303,0.301
663743,"Fortes, Nick",193,0.28,0.301
641796,"Locastro, Tim",31,0.216,0.301
600869,"Candelario, Jeimer",248,0.304,0.301
605612,"Castro, Harold",277,0.286,0.301
606992,"Haase, Eric",222,0.345,0.3
624428,"Frazier, Adam",287,0.284,0.3
660821,"Sánchez, Jesús",111,0.305,0.3
542932,"Berti, Jon",229,0.264,0.3
518595,"d'Arnaud, Travis",209,0.339,0.3
656582,"Joe, Connor",154,0.25,0.3
630105,"Cronenworth, Jake",341,0.309,0.3
624641,"Sosa, Edmundo",93,0.326,0.3
657136,"Wong, Connor",49,0.282,0.299
680911,"Miller, Owen",213,0.278,0.299
542583,"Aguilar, Jesús",232,0.264,0.299
680814,"Burdick, Peyton",102,0.294,0.299
641680,"Heim, Jonah",251,0.285,0.299
669016,"Marsh, Brandon",210,0.317,0.298
666801,"Castro, Rodolfo",200,0.339,0.298
501303,"Adrianza, Ehire",71,0.233,0.298
