Name,Team,Season,Age,G,PA,AB,HR,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,xwOBA,wRC+,WAR,K%,BB%,Barrel%,HardHit%,EV,O-Swing%,Z-Contact%,Contact%,SwStr%,Spd
Jarren Duran,BOS,2025,28.0,157.0,696.0,620.0,16.0,0.256451612,0.3323741,0.441935483,0.774309583,0.185483871,0.326484018,0.3350495208237288,0.32572161962115576,111.15078705378289,3.9099070139548555,0.242816091,0.086206896,0.0967033,0.46813187,91.76246895695364,0.34663179,0.87977369,0.73726758,0.12371526,7.237121696850838
Ceddanne Rafaela,BOS,2025,24.0,156.0,587.0,546.0,16.0,0.249084249,0.294520547,0.413919413,0.70843996,0.164835164,0.289156626,0.3065042726389349,0.30501882997277663,91.48703384452843,3.8036263593543067,0.199318568,0.04770017,0.0921659,0.38709677,88.259765625,0.44995864,0.85057471,0.75403226,0.14332707,6.799892759508759
Roman Anthony,BOS,2025,21.0,71.0,303.0,257.0,8.0,0.291828793,0.396039603,0.463035019,0.859074622,0.171206226,0.403614457,0.3763852876798548,0.37200824156502227,139.6254499087771,2.726285939737769,0.277227722,0.132013201,0.15517241,0.60344828,94.46878386921965,0.22567568,0.83067093,0.71458333,0.10678098,4.793568764958778
Wilyer Abreu,BOS,2025,26.0,115.0,417.0,373.0,22.0,0.246648793,0.317307692,0.4691689,0.786476592,0.222520107,0.276679841,0.33351583666464996,0.3353505006961869,110.09428943253836,2.4168068073428928,0.242206235,0.095923261,0.12318841,0.44927536,90.78909090909092,0.32881356,0.86827458,0.78192771,0.11305434,3.1629981585825613
Rob Refsnyder,BOS,2025,34.0,70.0,209.0,182.0,9.0,0.269230769,0.354066985,0.483516483,0.837583468,0.214285714,0.330578512,0.3591034584320508,0.3380052126370944,127.72064448780624,0.9958096534680351,0.258373205,0.114832535,0.12307692,0.52307692,91.9876953125,0.22645291,0.848,0.7768595,0.09121622,3.904924663668788
Nate Eaton,BOS,2025,28.0,41.0,90.0,81.0,1.0,0.296296296,0.348314606,0.382716049,0.731030655,0.086419753,0.370967741,0.3222697049044491,0.2925722786549772,102.34725013339678,0.3250170190928411,0.211111111,0.066666666,0.0625,0.375,88.83333333333333,0.35416667,0.89772727,0.82051282,0.08284024,6.790179533122855
Ceddanne Rafaela,BOS,2026,25.0,82.0,329.0,306.0,7.0,0.284313725,0.332317073,0.434640522,0.766957595,0.150326797,0.341880341,0.3362914222042735,0.28763155423677883,110.29185539519517,2.7040036740400275,0.197568389,0.048632218,0.04958678,0.33471074,86.20251772584034,0.43269231,0.85119048,0.76804916,0.12356792,5.508882984498641
Wilyer Abreu,BOS,2026,27.0,84.0,363.0,323.0,10.0,0.266253869,0.332409972,0.430340557,0.762750529,0.164086688,0.312757201,0.33234696835279465,0.3327132413646305,107.57147377706626,1.8540931569951105,0.203856749,0.093663911,0.10980392,0.40784314,89.81581182065217,0.35301205,0.85238095,0.79242637,0.10378682,4.781228117911012
Roman Anthony,BOS,2026,22.0,30.0,130.0,109.0,1.0,0.229357798,0.353846153,0.321100917,0.67494707,0.091743119,0.32,0.3100865871407265,0.3522300720214844,92.21909949611276,0.3016634262442267,0.253846153,0.153846153,0.09210526,0.47368421,92.33866536458333,0.23529412,0.84732824,0.74384236,0.0952381,5.274614413311127
Nate Eaton,BOS,2026,29.0,12.0,34.0,28.0,1.0,0.142857142,0.294117647,0.321428571,0.615546218,0.178571429,0.166666666,0.2857969035120571,0.3025621245889103,75.46717100572744,0.018518632306297078,0.264705882,0.117647058,0.10526316,0.31578947,87.86842105263158,0.26582278,0.76744186,0.703125,0.13669065,5.9194840385131275
Jarren Duran,BOS,2026,29.0,79.0,343.0,314.0,12.0,0.194267515,0.248538011,0.350318471,0.598856482,0.156050956,0.24137931,0.26261453966648257,0.2872097499251014,59.47893059403327,-0.015881965168588807,0.300291545,0.061224489,0.10648148,0.38425926,89.59095052083333,0.37718121,0.8611898,0.67507886,0.16220472,6.842589722045232
