Name,salary_2026,approx_salary,Age,PA,wRC+,WAR,wOBA,Spd,redsox,dollars_per_war
Juan Soto,61875000,False,27.0,357.0,157.18474806983497,2.8010085547430013,0.3993950158099963,4.058714175737932,False,22090257.416467324
Aaron Judge,40000000,False,34.0,261.0,149.47806125289063,2.133661887285442,0.3844191805114896,3.5375559053102106,False,18747112.763442628
Mike Trout,37116666,False,34.0,379.0,135.93232428476873,2.4726342568410797,0.3682288692967911,4.387634794714106,False,15010981.060910517
Cody Bellinger,36500000,False,30.0,426.0,116.3898463538728,2.705368125860868,0.3366134558485147,4.82798683532925,False,13491694.402359912
Luis Robert Jr.,20000000,False,28.0,108.0,84.50813944867208,0.036950899700401,0.2908588940346682,2.8307588290847363,False,541258809.9927362
Jung Hoo Lee,18833333,False,27.0,376.0,111.11604731098224,0.9748319231633418,0.3319333398595769,5.984231492636508,False,19319569.407293927
Masataka Yoshida,18600000,False,32.0,222.0,104.43209659633226,0.1991736369083988,0.3271409399337596,4.424543045592442,True,93385853.11144495
Byron Buxton,15142857,False,32.0,342.0,145.50319050317802,2.870181487386602,0.3814409142715141,5.372243620023674,False,5275923.166025327
Teoscar Hernandez,14709589,False,33.0,270.0,91.84103013301056,0.3894995016944053,0.3059249604501688,3.915799757984982,False,37765360.25337689
Daulton Varsho,10750000,False,29.0,329.0,88.30114468146746,1.0285683860500865,0.2967998688009536,6.056228018168721,False,10451419.804260371
Adolis Garcia,10000000,False,33.0,259.0,64.02100811101027,0.0194416137435105,0.2675024137533769,4.299157013122041,False,514360594.3379028
Michael Harris II,9000000,False,25.0,381.0,122.84987160653836,2.806651865509435,0.3536785016535461,3.716353977137592,False,3206667.741945406
Steven Kwan,7725000,False,28.0,379.0,92.63089905301644,1.3977664178202922,0.3022040646453325,4.520903042945867,False,5526674.4868906895
Jarren Duran,7700000,False,29.0,403.0,58.00109785616541,-0.050441465935404,0.2600576128829178,6.670591273986748,True,
Harrison Bader,7500000,False,32.0,111.0,48.02847661831831,-0.453003890224221,0.2377176027040223,1.35609243375,False,
Cedric Mullins,6500000,False,31.0,342.0,75.62588341331359,0.7425778082616492,0.2806646233158452,5.386612729323959,False,8753291.476911074
Roman Anthony,2625000,False,22.0,130.0,92.17251371222764,0.2971831404946422,0.3094283420910207,5.274614413311127,True,8832937.143173253
Ceddanne Rafaela,2000000,False,25.0,397.0,107.66595776789086,3.1862557342835105,0.3318132100226004,5.89114557100827,True,627696.0064694047
Wilyer Abreu,810000,False,27.0,429.0,112.17956325549916,2.3303946890904306,0.3383344497400171,4.699001309166121,True,347580.60674955824
Nate Eaton,760000,True,29.0,39.0,62.45198914710183,0.0465962450326947,0.2664882433720124,5.469933677846718,True,16310327.140453886
