pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2026-07-22,97.1,0.19,6.19,"Chapman, Aroldis",624413,547973,field_out,hit_into_play,,,,,5,"Pete Alonso grounds out, shortstop Tsung-Che Cheng to first baseman Willson Contreras.",R,R,L,BOS,BAL,X,6,ground_ball,1,1,2026,0.82,1.28,0.2218176328687737,2.374600603053068,,621493,,2,9,Top,106.71,157.26,,,,,-1.8565605149780833,-141.38866284741354,-7.596612924228759,11.417747124935788,28.950706174033627,-13.518436385050451,3.323564633,1.677312992,119,109.9,6,99.0,2393,7.1,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.44,0.706,0.684,0.0,1,0,0,4,72,3,Sinker,6,3,3,6,3,6,3,6,Standard,Standard,165,0.012,-0.254,80.1,7.4,,0.848,0.254,109.9,3,-3,0.988,0.012,38,31,38,32,1,4,,,,,1.12,0.82,-0.82,,17.413744897363035,0.956643465927076,32.42546938972156,36.266662868612286,31.116260839668747
SL,2026-07-22,87.7,0.37,6.19,"Chapman, Aroldis",624413,547973,,called_strike,,,,,8,,R,R,L,BOS,BAL,S,,,1,0,2026,-0.73,0.52,0.249604297909325,1.593902481499505,,621493,,2,9,Top,,,,,,,1.2637431147626512,-127.77979152412652,-6.066007109560055,-8.33262721341009,20.55200681673277,-25.522293687715752,3.323564633,1.677312992,,,,90.0,2365,7.2,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.33,,,,,,,,72,2,Slider,6,3,3,6,3,6,3,6,Standard,Standard,256,0.003,-0.05,,,,,0.05,,3,-3,0.985,0.015,38,31,38,32,1,4,,,,,2.38,-0.73,0.73,,,,,,
SI,2026-07-22,96.6,0.45,6.14,"Chapman, Aroldis",624413,547973,,ball,,,,,12,,R,R,L,BOS,BAL,B,,,0,0,2026,0.94,1.18,1.7721554029016455,3.2601275934682232,,,621493,2,9,Top,,,,,,,1.329003397633193,-140.6981296719481,-4.789054637117107,12.262658271203618,28.70238784156637,-15.528189695996057,3.323564633,1.677312992,,,,98.6,2360,7.1,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.39,,,,,,,,72,1,Sinker,6,3,3,6,3,6,3,6,Standard,Standard,168,-0.003,0.04,,,,,-0.04,,3,-3,0.988,0.012,38,31,38,32,1,4,,,,,1.23,0.94,-0.94,,,,,,
FF,2026-07-22,96.2,0.27,6.2,"Chapman, Aroldis",621493,547973,walk,ball,,,,,11,"Connor Wong challenged (pitch result), call on the field was confirmed: Taylor Ward walks.",R,R,L,BOS,BAL,B,,,3,1,2026,-0.08,1.43,-0.0738465353174409,3.442564404060596,,,,2,9,Top,,,,,,,-0.7319586724373072,-140.17681107981122,-4.983084915003832,-0.8941465223374978,27.95090036254314,-12.403265610271298,3.190165682,1.609990158,,,,98.5,2421,7.3,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.25,,0.698347,0.7,1,0,0,,71,5,4-Seam Fastball,6,3,3,6,3,6,3,6,Strategic,Standard,161,-0.005,0.201,,,,,-0.201,,3,-3,0.993,0.007,38,32,38,33,1,4,,,,,1.01,-0.08,0.08,,,,,,
FF,2026-07-22,97.6,0.35,6.13,"Chapman, Aroldis",621493,547973,,called_strike,,,,,7,,R,R,L,BOS,BAL,S,,,3,0,2026,0.35,1.38,-0.6486528936933116,1.8912598178171227,,,,2,9,Top,,,,,,,-3.522888816040509,-142.05283718313748,-9.056108085296607,5.4565585807488475,29.2254022875512,-11.64979984799164,3.190165682,1.609990158,,,,99.3,2455,7.0,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.48,,,,,,,,71,4,4-Seam Fastball,6,3,3,6,3,6,3,6,Strategic,Standard,157,0.002,-0.065,,,,,0.065,,3,-3,0.991,0.009,38,32,38,33,1,4,,,,,0.99,0.35,-0.35,,,,,,
FF,2026-07-22,98.1,0.39,6.17,"Chapman, Aroldis",621493,547973,,ball,,,,,12,,R,R,L,BOS,BAL,B,,,2,0,2026,0.16,1.43,0.2137033603503373,3.3714570160542725,,,,2,9,Top,,,,,,,-0.8471829376629723,-142.81613334622733,-5.353454164821692,2.353971507865071,31.65625519280742,-11.571794394536878,3.190165682,1.609990158,,,,99.7,2461,7.1,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.44,,,,,,,,71,3,4-Seam Fastball,6,3,3,6,3,6,3,6,Strategic,Standard,162,-0.003,0.099,,,,,-0.099,,3,-3,0.994,0.006,38,32,38,33,1,4,,,,,0.93,0.16,-0.16,,,,,,
FF,2026-07-22,99.2,0.42,6.04,"Chapman, Aroldis",621493,547973,,ball,,,,,13,,R,R,L,BOS,BAL,B,,,1,0,2026,0.06,1.51,-2.318328317016618,1.5492740475304871,,,,2,9,Top,,,,,,,-7.6310532214454785,-144.1003072678583,-10.371999951185192,2.4482038768739844,31.63708697306196,-8.84612306678659,3.190165682,1.609990158,,,,100.8,2492,7.1,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.37,,,,,,,,71,2,4-Seam Fastball,6,3,3,6,3,6,3,6,Strategic,Standard,156,-0.001,0.064,,,,,-0.064,,3,-3,0.995,0.005,38,32,38,33,1,4,,,,,0.8,0.06,-0.06,,,,,,
FF,2026-07-22,98.8,0.56,6.11,"Chapman, Aroldis",621493,547973,,ball,,,,,13,,R,R,L,BOS,BAL,B,,,0,0,2026,0.28,1.4,-0.7067563966788322,1.4005863527078266,,,,2,9,Top,,,,,,,-4.119596028819265,-143.5971940047361,-10.649268897272473,4.677523773875333,28.11672120604245,-10.592499899942393,3.190165682,1.609990158,,,,100.8,2433,7.1,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.39,,,,,,,,71,1,4-Seam Fastball,6,3,3,6,3,6,3,6,Standard,Standard,157,-0.001,0.041,,,,,-0.041,,3,-3,0.996,0.004,38,32,38,33,1,4,,,,,0.91,0.28,-0.28,,,,,,
FF,2026-07-22,98.1,0.42,6.12,"Chapman, Aroldis",644433,547973,grounded_into_double_play,hit_into_play,,,,,12,"Chadwick Tromp grounds into a double play, shortstop Tsung-Che Cheng to second baseman Romy Gonzalez to first baseman Willson Contreras. Jackson Holliday out at 2nd. Chadwick Tromp out at 1st.",R,R,L,BOS,BAL,X,6,ground_ball,0,0,2026,-0.01,1.6,0.2214331846500107,3.3370678788950747,,,702616,0,9,Top,109.24,153.71,,,,,-0.4986281807929625,-142.79380331506027,-5.725888566774926,-0.0570983150482528,32.10621222344974,-9.117135780842302,3.024294619,1.526279528,11,95.3,-17,99.6,2475,7.1,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.43,0.161,0.153,0.0,1,0,0,2,70,1,4-Seam Fastball,6,3,3,6,3,6,3,6,Standard,Standard,160,0.071,-0.359,71.6,7.6,,0.176,0.359,95.3,3,-3,0.925,0.0749999999999999,38,31,38,31,1,0,,,,,0.76,-0.01,0.01,,12.336586935382895,0.8411383503176997,18.98490669815572,38.773142232952274,23.368272099504587
FF,2026-07-22,94.5,0.52,6.08,"Chapman, Aroldis",702616,547973,single,hit_into_play,,,,,5,Jackson Holliday singles on a line drive to center fielder Ceddanne Rafaela.,R,L,L,BOS,BAL,X,8,line_drive,2,1,2026,0.22,1.4,-0.1112394925897361,2.5446463122438376,,,,0,9,Top,104.24,104.64,,,,,-2.1680819616205764,-137.67371217408393,-6.629184538093723,3.2880836975003103,27.830830201259115,-13.108940188444338,3.168225066,1.598917323,187,95.3,12,96.3,2375,7.1,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.42,0.911,0.873,0.9,1,1,0,4,69,4,4-Seam Fastball,6,3,3,6,3,6,3,6,Standard,Standard,155,-0.037,0.408,70.9,6.3,,1.081,-0.408,95.3,3,-3,0.962,0.038,38,22,38,23,1,3,,,,,1.13,0.22,0.22,,1.8669168955632036,15.553054589756169,28.03300043291336,33.63660833551357,24.108311392731657
