pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2024-09-29,95.8,-0.88,6.01,"Duran, Jarren",680776,686752,single,hit_into_play,,,,,1.0,Jarren Duran singles on a sharp line drive to center fielder Jonny DeLuca.,R,L,R,BOS,TB,X,8.0,line_drive,0,0,2024,-0.83,1.6,-0.3986343007231955,3.2036590860633307,,,,1,3,Bot,101.2,84.92,,,,,3.18373783577881,-139.47183433637173,-5.480058874464858,-11.534769747310754,30.98258181653125,-10.294618763614356,3.61,1.72,219.0,102.6,8.0,96.9,2396.0,6.9,746901,686482,666018,680700,691406,676609,666624,676356,666139,53.64,0.668,0.61,0.9,1.0,1.0,0.0,4.0,22,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,205.0,0.028,0.422,69.9,6.8,,0.755,-0.422,102.6,0,0,0.53,0.53,26,27,27,28,2,1,5.0,1.0,,,0.88,0.83,-0.83,46.4,3.1332444089107687,10.55127018468832,20.807195781951993,44.750969379801504,25.100793899734
SI,2024-09-29,92.8,2.36,5.13,"Duran, Jarren",680776,663992,field_out,hit_into_play,,,,,5.0,"Jarren Duran grounds out sharply, third baseman Junior Caminero to first baseman Jonathan Aranda.",R,L,L,BOS,TB,X,5.0,ground_ball,3,2,2024,1.68,0.44,0.0589263663121026,2.517897969580552,,,,1,7,Bot,104.55,160.82,,,,,-9.783471216824616,-134.617130073642,-1.7585889962596355,22.64122726956984,32.98310936059988,-26.73034614553437,3.61,1.72,19.0,107.4,-7.0,94.1,2085.0,7.5,746901,686482,666018,680700,691406,676609,666624,676356,666139,53.0,0.411,0.387,0.0,1.0,0.0,0.0,2.0,56,7,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,119.0,-0.01,-0.332,,,,0.415,0.332,107.4,2,2,0.878,0.878,28,27,29,28,1,3,4.0,1.0,,,2.26,1.68,1.68,16.5,,,,,
SI,2024-09-29,93.3,2.42,5.22,"Duran, Jarren",680776,663992,,ball,,,,,12.0,,R,L,L,BOS,TB,B,,,2,2,2024,1.62,0.56,2.1415572792090085,2.5611609684037124,,,,1,7,Bot,,,,,,,-4.37227823761498,-135.83972999842663,-2.325066824150588,20.937782831947768,31.37892881071296,-24.935633811568696,3.32702633845352,1.60707331959733,,,,94.8,2158.0,7.3,746901,686482,666018,680700,691406,676609,666624,676356,666139,53.24,,,,,,,,56,6,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,129.0,0.003,0.108,,,,,-0.108,,2,2,0.875,0.875,28,27,29,28,1,3,4.0,1.0,,,2.07,1.62,1.62,16.9,,,,,
SI,2024-09-29,92.7,2.41,5.1,"Duran, Jarren",680776,663992,,foul,,,,,9.0,,R,L,L,BOS,TB,S,,,2,2,2024,1.64,0.06,0.4158872387634311,1.9050770259615608,,,,1,7,Bot,,,,,,,-8.87552159937602,-134.64420517515782,-2.4512794121159045,21.878656253075302,32.56990663828687,-31.04869287245273,3.61,1.72,4.0,79.6,-25.0,94.1,2231.0,7.4,746901,686482,666018,680700,691406,676609,666624,676356,666139,53.05,,,,,,,,56,5,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,125.0,0.0,0.0,68.4,6.6,,,0.0,88.0,2,2,0.875,0.875,28,27,29,28,1,3,4.0,1.0,,,2.62,1.64,1.64,16.1,-14.990623477861869,28.925239548521795,33.57424618007457,36.30790907616462,11.36224976735142
SL,2024-09-29,86.3,2.29,4.92,"Duran, Jarren",680776,663992,,ball,,,,,13.0,,R,L,L,BOS,TB,B,,,1,2,2024,-0.03,0.21,-1.891721297156438,1.5249135613388145,,,,1,7,Bot,,,,,,,-10.156524474573388,-125.33093257284312,-2.321647684854715,1.6803757564946802,24.385141369853528,-29.656506138588476,3.3507165164961,1.60936723897629,,,,88.6,2134.0,7.7,746901,686482,666018,680700,691406,676609,666624,676356,666139,52.78,,,,,,,,56,4,Slider,3,1,3,1,1,3,3,1,Standard,Standard,232.0,0.001,0.043,,,,,-0.043,,2,2,0.874,0.874,28,27,29,28,1,3,4.0,1.0,,,2.85,-0.03,-0.03,11.1,,,,,
SI,2024-09-29,93.0,2.28,5.13,"Duran, Jarren",680776,663992,,foul,,,,,6.0,,R,L,L,BOS,TB,S,,,1,1,2024,1.41,0.32,0.5538033178287858,2.370854155773559,,,,1,7,Bot,,,,,,,-7.715907678956687,-135.25631452844277,-2.0273487369910828,19.04488522564495,29.700851787937523,-27.96374191658383,3.61,1.72,202.0,90.0,12.0,95.2,2078.0,7.6,746901,686482,666018,680700,691406,676609,666624,676356,666139,52.92,,,,,,,,56,3,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,122.0,-0.002,-0.061,61.3,5.6,,,0.061,90.0,2,2,0.876,0.876,28,27,29,28,1,3,4.0,1.0,,,2.32,1.41,1.41,17.3,-26.66950971775857,41.06257709614915,34.063553768281714,34.66159037752477,4.589071556956741
SL,2024-09-29,89.3,1.76,5.71,"Duran, Jarren",680776,682254,strikeout,swinging_strike,,,,,13.0,Jarren Duran strikes out swinging.,R,L,L,BOS,TB,S,2.0,,1,2,2024,-0.18,0.34,-0.8003801868605244,1.361682446882929,,,,0,5,Bot,,,,,,,-5.994091234976208,-130.09618236704307,-5.562575761103743,-1.0038495910371965,23.024351873980184,-27.42553181550539,3.61,1.72,,,,90.9,2331.0,6.8,746901,686482,666018,680700,691406,676609,666624,676356,666139,53.68,,0.0,0.0,1.0,0.0,0.0,,39,4,Slider,2,1,2,1,1,2,2,1,Standard,Standard,197.0,-0.015,-0.186,70.5,8.1,4.871009916,,0.186,,1,1,0.702,0.702,24,27,24,28,1,2,5.0,1.0,,,2.47,-0.18,-0.18,49.0,8.857856165701353,-8.214637583617286,24.349938461960896,50.33611232483008,36.179407096276464
SI,2024-09-29,93.6,2.37,5.11,"Duran, Jarren",680776,663992,,ball,,,,,12.0,,R,L,L,BOS,TB,B,,,0,1,2024,1.41,0.54,1.592210690453275,3.525615524962933,,,,1,7,Bot,,,,,,,-5.248410693120374,-136.22281893359477,0.5277975231322343,18.641240983690818,31.67602602099698,-25.86332496315904,3.40407778200031,1.62456728011438,,,,95.5,2002.0,7.5,746901,686482,666018,680700,691406,676609,666624,676356,666139,53.01,,,,,,,,56,2,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,125.0,0.001,0.024,,,,,-0.024,,2,2,0.875,0.875,28,27,29,28,1,3,4.0,1.0,,,2.08,1.41,1.41,16.1,,,,,
SL,2024-09-29,87.9,1.65,5.74,"Duran, Jarren",680776,682254,,swinging_strike,,,,,2.0,,R,L,L,BOS,TB,S,,,1,1,2024,-0.28,0.23,0.2193140647171673,3.27533521204162,,,,0,5,Bot,,,,,,,-2.914805535558328,-128.1362798441488,-0.4140335698949565,-2.6063280555039494,23.948145035054935,-29.72253293604766,3.61,1.72,,,,89.1,2430.0,6.7,746901,686482,666018,680700,691406,676609,666624,676356,666139,53.79,,,,,,,,39,3,Slider,2,1,2,1,1,2,2,1,Standard,Standard,236.0,-0.005,-0.056,65.2,5.5,0.282137868,,0.056,,1,1,0.707,0.707,24,27,24,28,1,2,5.0,1.0,,,2.69,-0.28,-0.28,51.9,-16.64582168466869,47.41952577072521,24.881549713207175,40.10260029948083,0.8132667933431055
FF,2024-09-29,97.1,-0.82,6.08,"Duran, Jarren",680776,686752,strikeout,swinging_strike,,,,,3.0,Jarren Duran strikes out swinging.,R,L,R,BOS,TB,S,2.0,,0,2,2024,-0.72,1.55,0.4012911378507053,3.5134521246326216,,,,0,1,Bot,,,,,,,4.965766966586817,-141.34481015470826,-4.907286189314444,-10.843892551219495,32.26631663941778,-10.47920965845809,3.61,1.72,,,,97.7,2480.0,6.6,746901,686482,666018,680700,691406,676609,666624,676356,666139,53.9,,0.0,0.0,1.0,0.0,0.0,,5,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,208.0,-0.013,-0.163,66.4,5.7,0.775370388,,0.163,,0,0,0.539,0.539,26,27,27,28,1,0,5.0,1.0,,,0.87,0.72,-0.72,44.7,-9.592894612732389,32.45114663543209,24.10455504884924,34.78389405185722,17.661776735093376
